url,label
http://concursojulio.000webhostapp.com,phishing
https://support.apple.com/en-us/HT201487,benign
https://glassdoor.com,benign
https://wap.recihui.com,phishing
https://xiaomi.com,benign
https://19.4buyuklergazete.com/vendor/symfony/yaml/chaseonline.chase.com/surf2.php,phishing
http://grupevosnotnot8.duckdns.org,phishing
https://bit.ly/3xyzAbC,benign
https://intel.com,benign
https://towardsdatascience.com,benign
https://samoa.gov.ws,benign
https://fro3138.webmo.fr/updated/auth/login.php,phishing
http://persoonlijk-knab.digital/registratie,phishing
http://itrustcapiitalojlloginn.webflow.io,phishing
https://sony.com,benign
https://cdc.gov,benign
http://hackmannseguros.com.br/001,phishing
https://huggingface.co,benign
https://b6z9468gmhadwehg6sy.qwo231sdx.club/index/usps/index.html,phishing
https://app--trezorsuite.webflow.io,phishing
http://hextraprimeasia.com/wp-admin/js/ilc/il/clients/t8vx8a.php?verification,phishing
http://karolinabryl.com/test/verification/MEE70NBM843EMN1342AE/index.php?country.x=US-United+States&lang.x=en,phishing
https://planet-scale.com,benign
https://oracle.com,benign
http://business-facebookhelper-center.ubpages.com/1146515a,phishing
http://edacafe.techjobscafe.com/job/CA-Apple-Inc-CSM-Design-Verification-Lead/9001.html,phishing
http://alatukurbalikpapan.com,phishing
https://mlb.com,benign
https://adobe.lcoode.com/shared/files/?id=204e8bf3f994f3ec84b8d9f1a18dc64b204e8bf3f994f3ec84b8d9f1a18dc64b&session=204e8bf3f994f3ec84b8d9f1a18dc64b&document=bWFpbEBhZHZpY2V1ay5vcmcudWs=,phishing
https://news.google.com,benign
http://arkzz.org/banks/Desjardins,phishing
https://52e4t.csb.app/p,phishing
http://platino.bg/fonts/pNzg2NC0xMjkuNTYuODguMjI2LTY0p/_mlogNjA1NUFCRENERkFNw6BB,phishing
https://cloudflare.com,benign
http://pub-f55e4a7a38f54e858d6f6bb74100ff5d.r2.dev/index.html,phishing
http://inducible-reinforce.000webhostapp.com/CenturyFullz/1c0883/en/card.html,phishing
http://linkwa18.ezua.com,phishing
http://dhlstafetten.dk/find-dit-loeb,phishing
https://etrade.com,benign
https://herbalife.com,benign
https://saudi.gov.sa,benign
https://cloud.google.com,benign
https://ai.google,benign
https://engineering.linkedin.com,benign
http://midas-topup-free-ucpubg.duckdns.org,phishing
https://wish.com,benign
https://yahoo.com,benign
http://connecting-profile0288026.duckdns.org/sigin-in,phishing
https://loreal.com,benign
https://wellsfargo.com,benign
https://hp.com,benign
https://nginx.org,benign
http://lendersvcs.com,phishing
http://currently8945.weebly.com,phishing
https://oecd.org,benign
http://janeiro-liquida2020.com/00448541a094841f0644/index.php?id=1,phishing
https://digitalocean.com,benign
https://www.instacart.com/store/s?k=cr%C3%A8me,benign
https://www.healthcare.gov/login/,benign
https://www.france24.com/en/search?q=fa%C3%A7ade,benign
http://codashopggz2.duckdns.org,phishing
https://andbondewer.zzux.com/index.php?email=redacted@redacted.invalid,phishing
https://bankofamericax56.webcindario.com/da22904c,phishing
https://hulu.com,benign
http://amanda-johnson.com/asf/ea55a7533c220e5d345e00bc416820a3,phishing
https://nba.com,benign
https://southafrica.gov.za,benign
https://tinyurl.com/2p8example,benign
https://opensuse.org,benign
http://bantuankerajaanm.mytme.id,phishing
http://bn.theappleservices.dns-dynamic.net,phishing
https://www.theverge.com/search?q=cr%C3%A8me,benign
https://paperswithcode.com,benign
https://khanacademy.org,benign
http://chainstrading.net/Email/Verify/ijJJ/Y3RheWxvcnlhbmtAdGF5bG9ycm9vZi5jb20=,phishing
http://account.meta.page-access-center.com/case-id-8451629577?fbclid=0xvb9_c0oqefsfnba74w5w,phishing
http://emailmarketingpty.com/AR/Success/drivers/microsoft.php,phishing
https://bearchitect.com//mang/001100110011yahoo.html,phishing
http://gettrezorsuite.webflow.io,phishing
http://mail.dmgratis.claimff18.my.id/12,phishing
https://appleld-apple.accountlockeds-feedback.broinaf.com/session/?view=login&appIdKey=&country=US,phishing
https://gap.com,benign
https://brazil.gov.br,benign
http://d855d9cf1eadbfb661a5baaf2c0bf0ff-dot-gle9392420309493993.rj.r.appspot.com,phishing
http://paypal-secureagent.org/admin,phishing
https://ifreelance4u.com/dbs/customer_center/user-659148,phishing
http://m-facebook.ct8.pl,phishing
http://159.89.209.178/CAn82b4v/secure/tdcanada/Step1.html,phishing
https://quora.com,benign
https://here.com,benign
http://cvector.ru/images/index.htm,phishing
http://fwebsster.wixsite.com/my-site-2,phishing
https://razer.com,benign
https://www.grubhub.com/search?query=ni%C3%B1o,benign
https://3fqvel17.robertaocana.com.br/?swahjsdhjsduewuyhjskldi-3rq~hi28a35lx-6jobp6s~ab6i6g4grhqaazovbhl3a73n4-ctavr3tom4mnqmdp3ojdtd578gqamieb-1z3v3ppppyl15cud2726ghlkbas2jpbvot5xr8lckpmvjrqyqgpes1o1-yfeh5fdjrc72g7zrx5ft~92bjypic-4kkg5ul2a1q5h4flfoqhd-lmbzo33c-v2~96yhus-4tm2m-yqo7ajt~p87a437il-ux4b43mm2e8pmtlbec685k5y2mrrchquoma8c4yss5xxsnabbk25vib6h64hp6oialo15hsahjshjduywqyhwhjf8-m45ehhxu8za9vdcc2jjyi6jjdmm44h-i~6cdglmktnezmfu1xhakf1i5~r1rqotuc3xe~bnpkn1l86v58f2k5s9ytn-dxgt4b7jdt~lnbjuxszu6urf~4x7ty4685=value&url=ssomacesac.com/.wwww/bjfkfskl/d3NpbHZhQG1hZGVyYS5nb3Y=,phishing
http://a2c51be1.simptrue.com.cn/amagc,phishing
https://forever21.com,benign
https://spotify.com,benign
https://puma.com,benign
https://www.npr.org/search?query=na%C3%AFve,benign
https://canon.com,benign
http://204.152.210.132/index.php/2019-07-19_dw/m0uhxhf6tpgspmzi/vyzn2.aiiw.ia_jfcyepqv9sd8fcn.absaa,phishing
https://translate.google.com,benign
https://logitech.com,benign
https://eclipse.org,benign
https://www.rottentomatoes.com/search?search=caf%C3%A9,benign
https://appie-pqinsupp.azurewebsites.net/tw/wahad.php,phishing
https://dell.com,benign
http://client-servicessupporte.ekogen.com.tr,phishing
http://personalportfolio.com.au/login.php?cmd=login_submit&id=64d016c2f7db0392919b6237776f1bd764d016c2f7db0392919b6237776f1bd7&session=64d016c2f7db0392919b6237776f1bd764d016c2f7db0392919b6237776f1bd7,phishing
https://bafybeidxhnoo6bsp7uufd36f2ye7l7zsbiut2a75zzr6lbvvvlujutbzti.ipfs.cf-ipfs.com/newfile.html,phishing
http://binainsanitour.co.id/wp-admin/files/secure/update/bankofamerica.com/BOA/47f663368825f88b3501973a15a75dfd/qes.php?cmd=_account-details&session=990f3ac2280dd5f3f512438287a3020a&dispatch=1ab00ea8a1f726ae1b9bb2f5b5f8304f71beeb6d,phishing
https://slovenia.si,benign
http://amplefort.pages.dev,phishing
http://mmwidcrxkldwvgfmscibdudqyvotwuinfkrw-dot-offglen.uk.r.appspot.com/xx,phishing
http://cbetechnologies.com/?standard=oNrg6kHRwqfYcyl&direct=u3W259ApEfiXeIS&online=w5PXaBdlKOgUrW9,phishing
http://javnewonehd.duckdns.org,phishing
https://hongkong.gov.hk,benign
https://en.wikipedia.org/wiki/ISO_8601,benign
http://alertasbanruralgttt.dramyrnaramos.repl.co,phishing
https://account.live.com/password/reset,benign
https://azure.microsoft.com,benign
https://lowes.com,benign
http://q7scgypoke.temp.swtest.ru/C-Agricole,phishing
https://58fx2vce2.00.woori.com.au/mobile/front,phishing
https://meta-lucent-1dq.pages.dev,phishing
